POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4724,0,0,0,0,3,11,16,14,7,49,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,9,7,0,37,21,47,79,72,97,71,50,30,8,466
POA4725,0,0,0,5,8,15,53,34,19,119,0,0,0,0,0,0,0,3,0,3,9,5,13,20,12,10,29,19,8,127,45,81,162,162,231,208,169,102,36,1194
POA4726,0,0,6,0,0,8,10,7,0,37,0,0,0,0,0,3,0,0,0,3,0,0,8,7,3,4,4,10,0,27,3,20,60,51,47,51,33,27,3,303
POA4727,0,0,0,0,0,0,3,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,3,0,0,18,11,10,26,37,53,39,18,7,6,197
POA4728,0,0,0,0,0,0,11,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,11,4,5,27,28,24,29,25,5,3,146
POA4730,0,0,5,8,15,26,58,35,18,170,0,0,0,3,0,0,3,0,0,7,24,20,34,40,40,59,56,43,24,337,152,200,399,368,458,459,275,170,69,2547
POA4731,0,0,0,0,4,0,6,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,3,0,23,4,11,21,20,28,42,29,10,0,178
POA4732,0,0,0,3,0,0,7,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,10,7,3,13,17,29,16,21,10,0,112
POA4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,7,0,0,21,3,12,22,20,33,33,22,6,3,153
POA4735,0,0,0,0,9,13,22,16,9,73,0,0,3,0,0,0,0,3,4,10,3,3,16,9,11,16,23,13,9,102,32,46,110,98,132,148,130,70,28,788
POA4736,0,0,0,0,4,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,14,7,25,11,10,3,3,89
POA4737,3,0,7,12,27,78,180,123,48,483,3,0,0,0,0,15,5,4,0,30,49,36,131,127,152,169,129,84,26,901,262,417,926,1026,1119,1213,818,357,113,6246
POA4738,0,0,0,0,9,20,33,11,3,80,0,0,0,0,0,0,0,0,0,0,3,11,25,13,14,24,21,5,0,113,28,41,139,124,172,232,138,40,9,928
POA4739,0,0,0,0,0,3,13,8,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,5,3,4,0,26,9,6,30,35,66,70,37,21,5,272
POA4740,21,30,76,115,216,468,1248,1063,506,3749,3,4,15,29,40,25,30,24,18,181,260,413,1032,988,1164,966,665,539,274,6310,2464,5033,11328,10659,11585,9788,5929,3274,1335,61388
POA4741,0,0,4,5,25,63,171,99,25,402,0,0,0,0,0,0,3,10,0,18,47,53,124,167,189,132,89,63,15,872,237,303,692,930,1265,1083,685,333,58,5587
POA4742,0,0,0,4,5,8,18,6,0,49,0,0,0,0,0,0,0,0,0,3,3,22,61,44,37,33,18,0,0,230,17,75,225,204,171,151,64,17,0,927
POA4743,0,0,3,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,18,16,16,6,0,0,0,69,14,41,116,123,83,53,12,0,0,441
POA4744,6,3,8,8,15,27,27,3,0,92,0,0,0,0,3,0,0,0,0,5,41,66,256,217,186,85,17,7,4,885,221,518,1807,1562,1128,592,145,14,8,5993
POA4745,0,0,0,3,13,15,13,4,0,47,0,0,0,0,0,3,3,0,0,12,27,67,173,102,107,60,13,0,0,547,78,216,587,473,422,268,69,14,4,2130
POA4746,0,0,0,0,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,23,79,51,37,26,0,0,0,220,29,111,452,351,234,143,17,4,0,1347
POA4750,0,3,3,4,8,14,48,23,11,105,0,0,0,0,0,0,3,0,0,4,14,22,54,79,72,41,23,11,3,313,159,287,761,868,902,604,339,104,15,4043
POA4751,0,0,3,3,13,29,79,48,16,188,0,0,0,0,0,3,5,0,0,10,13,23,45,45,62,59,40,20,8,327,164,269,619,564,700,582,349,135,38,3415
POA4753,0,0,8,3,6,19,53,33,3,122,0,0,0,0,0,0,0,0,0,0,20,14,62,74,47,45,15,7,7,291,127,231,717,643,566,380,192,84,16,2962
POA4754,0,0,0,3,5,11,66,25,7,125,0,0,0,3,0,0,0,0,0,6,18,11,29,31,48,45,29,16,31,261,78,108,302,275,307,280,199,74,45,1667
POA4756,0,0,0,0,5,9,21,10,3,40,0,0,0,0,0,0,0,0,0,0,5,0,0,11,15,15,17,4,0,55,10,15,31,92,102,100,89,30,3,470
