POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4799,0,0,0,9,21,10,3,0,0,47,0,0,0,12,4,5,0,0,0,28,0,0,4,3,8,3,0,0,0,24,0,0,4,7,8,4,0,0,0,25,0,0,0,8,8,0,3,0,0,23,0,0,0,0,4,0,0,0,0,9,19,3,8,23,25,22,23,12,3,134,66,17,62,129,185,169,164,59,4,853
POA4800,0,30,96,119,157,133,43,15,3,593,0,15,71,99,94,86,11,3,4,387,0,3,55,75,103,71,25,3,0,340,0,3,30,39,51,43,6,0,0,163,0,0,63,96,70,40,20,3,3,293,3,3,14,42,52,34,7,3,0,158,83,37,98,135,140,186,140,93,59,965,549,360,932,1215,1359,1495,964,445,166,7484
POA4801,0,17,17,5,3,3,0,0,0,50,0,0,5,3,0,0,3,0,0,13,0,0,6,4,3,0,0,0,0,15,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,11,4,59,125,30,24,15,0,0,0,256
POA4802,3,55,239,182,155,101,50,9,4,800,0,14,110,107,92,60,21,3,0,410,0,17,72,93,78,49,19,4,0,339,0,4,51,60,56,26,6,4,0,217,0,11,76,89,84,55,12,0,0,324,0,0,34,61,37,32,13,3,0,188,88,116,342,220,190,151,114,18,4,1244,415,648,1829,1586,1354,1171,765,195,36,7995
POA4803,0,47,114,39,15,8,0,0,0,225,0,0,34,17,19,9,0,0,0,84,0,0,15,17,7,12,0,0,0,45,0,0,3,3,9,4,0,0,0,17,0,3,3,9,3,3,3,0,0,26,0,0,6,12,9,0,4,0,0,27,19,149,272,97,60,51,13,4,0,671,59,399,682,276,160,104,35,5,0,1722
POA4804,0,11,13,12,16,27,10,7,0,92,0,5,10,13,18,14,3,0,0,67,0,3,19,16,19,12,0,0,0,66,0,0,12,15,16,7,3,0,0,45,0,0,17,16,14,4,0,0,0,57,0,0,0,7,5,11,6,0,0,35,11,14,35,32,34,45,33,12,4,228,69,79,206,211,266,267,190,100,32,1423
POA4805,0,53,140,112,124,116,45,10,3,603,0,17,74,61,90,79,12,3,0,333,0,8,62,73,74,61,5,4,0,294,0,6,40,59,49,33,14,0,0,199,0,4,85,109,103,43,12,0,0,368,5,4,17,40,42,37,13,0,0,154,116,82,181,149,186,180,171,101,47,1212,571,596,1448,1198,1461,1569,1225,557,210,8834
POA4806,0,16,32,53,63,62,18,8,4,261,0,6,31,40,64,42,6,0,4,195,0,3,14,18,40,36,6,3,0,119,0,0,9,22,17,19,0,0,0,64,0,0,15,16,23,12,11,0,0,75,0,0,4,7,12,7,6,3,0,46,18,20,13,30,38,61,69,62,40,353,258,183,293,415,531,572,521,282,129,3184
POA4807,3,57,144,151,166,145,41,30,4,739,0,19,99,119,118,109,20,8,3,503,0,9,86,95,118,74,17,3,4,401,0,4,38,67,49,53,17,4,3,229,0,4,45,67,72,45,14,4,3,250,4,5,18,22,34,35,13,4,0,140,81,63,85,106,154,155,169,115,53,976,644,625,1172,1273,1480,1562,1224,762,313,9067
POA4808,0,4,16,18,33,15,6,0,0,94,0,5,12,13,16,9,0,0,0,54,0,0,0,7,12,8,4,0,0,36,0,0,12,11,10,7,0,0,0,32,0,0,9,4,9,4,0,0,0,34,0,0,0,4,7,5,0,0,0,14,0,4,10,9,9,4,17,3,3,54,66,46,109,124,172,171,150,57,22,916
