POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA4018,1257,2526,13,91,95,462,31,138,924,3380,1065,4062,59,252,100,322,168,531,327,1105,1394,5169,11,55,23,80,13,56,215,562,269,754,14,50,51,119,186,398,259,568,525,1320,75,154,3258,9172
POA4019,2168,4325,22,133,158,720,65,331,1026,3883,1274,5065,77,311,118,381,386,1208,582,1905,1854,6971,12,68,59,220,34,126,529,1411,642,1820,25,84,110,238,475,1010,607,1332,1253,3157,115,239,5397,14689
POA4020,2767,5479,33,201,166,769,67,300,956,3661,1218,4930,93,376,206,676,441,1376,739,2421,1959,7356,3,16,66,226,41,129,383,1007,493,1380,38,101,128,282,415,874,580,1261,1069,2636,87,177,5881,15652
POA4021,946,1895,22,130,115,557,32,163,489,1926,665,2774,47,201,57,174,223,714,322,1083,988,3861,10,45,51,177,26,111,262,747,354,1074,25,85,41,78,224,484,294,643,641,1722,49,105,2625,7579
POA4022,695,1395,22,109,83,386,27,136,358,1430,489,2062,37,163,56,183,150,469,244,812,736,2874,3,26,30,116,19,69,171,507,221,717,18,45,32,75,131,285,178,409,399,1128,22,41,1845,5444
POA4025,26,48,0,0,0,0,0,0,3,5,3,5,0,0,0,4,0,3,0,8,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,61
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,1693,3330,16,78,131,587,20,85,1056,4008,1218,4756,67,285,168,574,169,527,403,1387,1625,6150,4,17,30,98,12,31,189,433,229,568,16,48,82,168,166,353,266,568,490,1137,139,298,3950,10914
POA4031,1298,2561,12,73,165,742,19,97,1010,3812,1205,4719,64,277,139,476,154,497,356,1248,1564,5964,3,29,31,99,7,29,194,476,244,628,18,61,56,119,149,310,223,487,466,1115,105,210,3430,9856
POA4032,1702,3413,16,81,128,584,30,116,913,3440,1079,4221,44,191,141,488,243,776,429,1458,1505,5684,4,20,33,124,17,47,220,554,280,748,27,90,84,181,286,624,399,895,678,1636,139,287,4026,11019
POA4034,4713,9475,78,444,451,2103,97,454,2941,11074,3567,14072,231,987,428,1435,939,3010,1602,5425,5169,19503,31,134,123,428,72,250,691,1806,913,2619,97,297,165,369,801,1733,1060,2398,1969,5017,263,552,12112,34551
POA4035,2310,4592,46,256,411,1874,73,319,1772,6962,2306,9410,263,1127,431,1511,733,2311,1426,4959,3730,14373,11,51,66,220,19,50,255,647,346,960,53,169,101,253,249,523,402,941,753,1904,70,149,6869,21017
POA4036,633,1279,9,56,69,337,25,133,482,1871,589,2390,27,125,60,199,168,550,258,871,852,3258,4,20,16,63,10,36,122,331,157,444,19,52,23,39,122,270,152,357,311,805,37,75,1834,5417
POA4037,629,1258,20,101,167,761,28,112,723,2879,937,3850,67,278,176,632,205,668,453,1577,1388,5423,0,0,20,69,3,12,80,207,103,290,11,27,35,72,66,142,106,233,209,523,23,59,2255,7260
POA4051,2418,4750,19,98,309,1384,32,135,2034,7808,2398,9429,138,564,309,1074,310,960,750,2592,3149,12022,3,27,50,152,10,41,352,795,418,1014,29,98,132,280,275,573,441,955,854,1968,190,387,6603,19130
POA4053,4535,8964,60,322,451,1986,107,499,3283,12448,3897,15260,259,1065,447,1554,784,2482,1486,5107,5386,20363,21,101,124,418,56,187,680,1763,881,2467,74,241,201,461,706,1531,982,2232,1863,4701,245,509,12030,34535
