POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA4509,204,29,328,5473,6436,2562,2078,4042,1288,21875
POA4510,297,454,1031,7485,9314,4557,4096,8723,3920,38091
POA4511,59,40,153,1332,1853,1065,950,1563,692,7462
POA4512,14,7,38,584,776,365,295,436,319,2778
POA4514,70,27,115,941,1342,711,684,945,1576,6204
POA4515,44,11,73,547,802,429,405,746,355,3279
POA4516,12,5,30,725,908,415,349,512,257,3170
POA4517,0,9,12,115,173,88,66,100,84,626
POA4518,18,7,62,870,1200,557,500,676,307,4111
POA4519,107,23,180,1365,1774,928,775,1327,565,6730
POA4520,27,13,91,2349,3208,1739,1218,1156,675,10344
POA4521,13,12,45,717,1137,586,433,468,393,3735
POA4550,13,8,45,702,985,474,408,586,326,3484
POA4551,981,356,1951,9759,12760,6261,4691,9609,3456,46536
POA4552,102,20,221,1300,2121,1233,994,1097,525,7270
POA4553,15,7,54,962,1326,684,553,781,326,4636
POA4554,7,0,22,298,470,229,188,206,138,1525
POA4555,82,23,171,1146,1609,817,615,943,381,5514
POA4556,644,251,1429,8003,10207,4771,3332,6492,2487,35294
POA4557,88,37,220,3958,4504,1720,1156,2720,1345,15400
POA4558,266,204,684,3847,4548,1775,1255,3655,1788,16869
POA4559,39,31,117,1077,1450,730,565,783,414,5021
POA4560,416,175,891,5180,7177,3612,2994,4898,2075,25933
POA4561,27,8,68,1160,1668,861,702,982,431,5812
POA4562,31,5,74,1289,1916,1034,785,922,478,6427
POA4563,81,17,164,1327,1934,1045,950,1185,533,6975
POA4564,61,19,134,2000,2650,1184,761,1603,604,8802
POA4565,162,236,593,2292,3304,1678,1308,2361,1267,12207
POA4566,105,52,291,1455,2007,1007,652,1324,603,7049
POA4567,126,24,213,2052,2710,1267,787,1687,796,9304
POA4568,6,11,38,544,823,474,379,451,262,2924
POA4569,6,3,25,229,398,190,176,173,130,1296
POA4570,307,269,887,6179,8610,4769,4592,6482,3792,34427
POA4571,0,0,0,97,180,118,79,91,104,659
POA4572,106,73,214,903,972,318,192,717,451,3546
POA4573,307,87,538,4644,5994,2784,1992,3654,1613,20684
POA4574,9,0,20,205,268,167,168,161,105,1078
POA4575,274,93,667,4443,5518,2535,1776,3835,1438,19546
POA4580,43,23,121,548,963,621,653,996,512,4292
POA4581,4,4,14,241,287,165,123,243,270,1327
POA4600,3,0,13,110,169,128,121,162,57,742
POA4601,5,0,6,163,224,141,126,171,124,947
POA4605,66,8,106,683,917,403,371,900,396,3667
POA4606,44,17,85,291,501,243,285,445,238,2007
POA4608,3,7,12,123,174,102,112,145,97,753
POA4610,168,57,335,2191,2951,1655,1487,2369,1121,11774
POA4611,0,0,0,18,21,10,14,21,8,92
POA4612,3,0,3,38,49,18,27,55,26,216
POA4613,5,3,18,106,167,84,148,133,92,720
POA4614,11,11,31,134,212,136,129,221,157,984
POA4615,62,29,125,871,1291,780,805,1302,795,5839
POA4620,3,5,4,47,78,56,52,71,46,345
POA4621,27,11,62,234,333,196,218,334,188,1505
POA4625,23,31,63,362,530,282,247,474,385,2286
POA4626,26,14,50,280,409,202,184,452,266,1793
POA4627,9,3,23,117,146,89,67,156,126,687
POA4630,40,18,87,279,477,243,257,421,293,1972
POA4650,412,173,852,4589,6700,3689,3530,6071,3503,28085
POA4655,754,341,1571,8322,12148,6801,5803,11320,4980,49374
POA4659,31,29,97,557,844,569,671,956,603,4193
POA4660,51,38,133,949,1397,854,929,1260,760,6159
POA4662,3,0,11,92,132,102,74,115,112,626
POA4670,1017,444,2126,11587,16344,8526,7732,14593,6426,65207
POA4671,43,25,102,766,1064,694,820,994,723,5055
POA4673,0,0,3,90,142,81,73,109,46,540
POA4674,3,3,12,175,249,179,237,249,168,1254
POA4676,0,0,0,13,33,22,21,35,18,135
POA4677,6,3,15,463,760,439,419,484,349,2907
POA4678,3,0,9,109,176,99,131,150,71,725
POA4680,215,81,461,8668,11488,5066,4876,7622,3809,41525
POA4694,0,0,0,23,42,23,16,30,19,153
POA4695,4,0,13,123,221,127,145,149,106,871
POA4697,0,0,0,16,23,11,18,22,13,114
