POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA4509,..,1261,1261,2583,179,2762,1896,42,1935,2256,16,2264,896,5,896,387,0,390,8015,1497,9512
POA4510,..,3992,3992,5159,558,5716,2660,90,2752,2258,31,2288,1188,12,1205,753,22,778,12022,4714,16731
POA4511,..,684,684,1381,85,1467,467,11,475,431,3,430,192,0,192,96,0,96,2566,780,3347
POA4512,..,138,138,348,25,371,158,0,162,196,0,197,104,0,104,64,0,63,873,163,1032
POA4514,..,395,395,771,66,831,342,7,347,338,0,338,147,0,147,91,0,91,1686,469,2150
POA4515,..,349,349,505,30,531,203,9,210,205,8,204,93,11,99,54,3,58,1053,403,1455
POA4516,..,114,114,320,16,339,202,10,203,250,0,250,144,0,144,87,0,87,1004,140,1146
POA4517,..,64,64,98,11,112,34,0,34,25,0,25,24,0,24,12,0,12,192,79,274
POA4518,..,247,247,668,47,715,288,5,294,284,0,284,135,0,135,60,3,66,1433,306,1737
POA4519,..,551,551,1038,70,1113,464,12,475,450,0,455,208,0,208,121,0,124,2285,642,2923
POA4520,..,439,439,1300,48,1349,658,5,661,935,0,934,440,0,440,222,0,222,3546,496,4039
POA4521,..,231,231,598,24,621,216,3,216,289,0,289,124,0,124,58,0,58,1281,258,1540
POA4550,..,305,305,548,49,597,212,3,216,234,0,237,95,0,95,55,0,55,1148,364,1511
POA4551,..,5311,5311,7818,557,8377,2945,122,3067,3018,18,3032,1179,5,1184,511,0,517,15471,6015,21487
POA4552,..,907,907,1475,71,1551,423,13,437,301,4,311,146,3,148,69,0,69,2419,999,3414
POA4553,..,249,249,599,43,638,356,4,358,377,0,383,192,0,192,81,0,81,1597,292,1895
POA4554,..,96,96,194,9,206,117,3,114,97,0,97,52,0,52,41,0,41,498,108,604
POA4555,..,411,411,782,51,836,379,10,391,423,0,423,161,0,161,116,0,116,1860,471,2329
POA4556,..,3425,3425,5319,405,5720,2206,128,2328,2612,53,2660,983,22,1005,387,5,394,11500,4029,15533
POA4557,..,1568,1568,2167,309,2482,1083,114,1194,1086,38,1126,367,3,371,154,0,159,4859,2041,6901
POA4558,..,2797,2797,2901,431,3332,929,107,1034,660,29,684,237,9,250,77,4,86,4806,3374,8177
POA4559,..,413,413,677,48,721,318,10,330,368,0,367,188,0,188,92,0,92,1645,466,2107
POA4560,..,2965,2965,4113,359,4469,1668,46,1708,1541,10,1557,685,0,689,362,5,368,8371,3382,11750
POA4561,..,424,424,823,60,882,387,7,395,433,5,437,182,0,182,105,0,105,1928,494,2421
POA4562,..,375,375,1014,69,1078,421,5,423,494,0,493,220,0,225,99,0,98,2244,451,2698
POA4563,..,652,652,1188,89,1280,467,13,485,410,3,415,193,0,189,92,0,92,2348,761,3116
POA4564,..,966,966,1561,171,1736,605,29,635,552,9,560,189,0,189,71,0,71,2986,1164,4150
POA4565,..,1462,1462,2076,164,2237,786,32,820,677,3,684,258,0,256,142,0,140,3923,1660,5587
POA4566,..,978,978,1464,85,1552,394,11,409,319,0,321,125,0,125,34,0,34,2336,1072,3408
POA4567,..,1034,1034,1692,183,1873,554,25,581,533,8,536,181,3,190,62,3,63,3017,1264,4281
POA4568,..,275,275,500,26,522,202,3,210,198,3,197,70,0,67,26,0,26,995,307,1302
POA4569,..,139,139,213,22,234,87,0,84,83,0,86,37,0,37,12,0,12,438,162,600
POA4570,..,4125,4125,5669,452,6121,2138,66,2201,1848,12,1861,839,4,844,575,3,573,11067,4661,15729
POA4571,..,72,72,114,10,126,40,3,42,32,0,32,13,0,13,12,0,12,209,92,296
POA4572,..,514,514,549,104,650,163,23,188,147,4,154,47,3,48,12,0,12,918,643,1566
POA4573,..,1985,1985,3124,311,3435,1477,41,1521,1565,16,1581,618,8,622,179,0,183,6963,2362,9333
POA4574,..,154,154,191,20,213,53,0,53,59,0,56,23,0,23,15,0,15,342,172,512
POA4575,..,2149,2149,3207,288,3496,1336,84,1421,1286,26,1313,474,6,482,183,0,183,6491,2547,9040
POA4580,..,680,680,1007,70,1079,167,3,176,95,0,95,71,0,71,33,0,33,1379,758,2133
POA4581,..,188,188,222,23,244,42,4,43,38,0,38,18,0,22,11,0,11,335,218,551
POA4600,..,129,129,143,10,152,45,0,47,28,0,28,20,0,20,5,0,5,246,139,383
POA4601,..,127,127,168,12,185,50,0,47,38,0,38,33,0,33,7,0,7,294,140,440
POA4605,..,427,427,510,41,558,192,4,196,180,0,181,105,0,105,125,0,125,1124,478,1597
POA4606,..,288,288,357,23,372,112,0,114,104,0,104,44,0,46,26,0,26,641,311,951
POA4608,..,92,92,140,9,150,33,0,34,33,0,33,22,0,22,10,0,10,234,100,339
