POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA4877,858,320,250,52,9,1492,65,63,67,11,0,214,27,15,20,3,0,67,956,396,334,70,10,1772
POA4878,3289,654,400,38,16,4403,360,139,107,16,7,623,79,32,21,4,6,135,3726,825,530,53,27,5159
POA4879,5015,452,854,33,70,6420,355,110,137,3,26,632,96,13,33,0,5,151,5467,575,1025,36,101,7204
POA4880,2877,41,93,72,15,3099,952,51,106,35,4,1151,122,8,13,9,5,156,3954,98,220,117,22,4402
POA4881,1277,3,19,22,10,1332,220,7,3,10,6,243,45,0,0,0,3,55,1547,11,24,34,13,1630
POA4882,776,0,0,21,0,797,164,0,0,15,0,184,29,0,0,3,0,31,962,3,0,39,3,1014
POA4883,2141,87,168,25,6,2431,507,75,149,19,0,751,79,12,27,0,0,112,2725,174,343,39,13,3293
POA4884,573,3,9,10,3,599,107,0,3,0,0,112,10,0,0,0,0,13,694,3,13,11,3,728
POA4885,1125,22,0,9,3,1155,205,34,0,0,0,242,35,3,0,0,0,35,1362,58,0,7,3,1436
POA4886,255,0,0,0,0,258,70,0,3,0,0,76,11,0,0,0,0,11,330,0,4,7,0,340
POA4887,535,6,8,10,9,555,166,0,4,8,0,180,27,0,0,3,0,26,721,6,10,18,7,765
POA4888,720,6,18,20,0,756,249,0,13,10,0,272,39,0,0,5,0,48,1008,5,26,33,6,1072
POA4890,189,0,3,8,7,211,135,0,3,6,0,150,17,0,0,0,0,23,342,0,8,24,10,379
POA4891,103,0,8,37,13,165,39,0,6,14,4,61,4,0,0,8,0,13,145,0,15,59,18,237
POA4892,668,66,34,24,0,798,407,31,31,15,0,486,42,3,0,9,0,55,1111,103,64,50,0,1336
POA4895,861,12,47,41,18,992,319,7,46,28,3,396,42,0,3,9,0,63,1222,18,101,82,28,1450
