POA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA4271,0,11,12,7,4,9,7,14,14,0,33,34,30,61,89,34,41,76,64,29,100,43,30,75,83,28,108,84,17,104,53,14,69,44,8,51,107,3,109,54,0,54,28,0,30,23,0,24,46,0,46,65,3,71,14,10,23,784,302,1093
POA4272,18,12,31,9,5,16,8,24,32,8,38,42,40,102,141,22,45,73,122,44,158,84,38,122,118,26,142,128,13,139,72,23,89,83,7,96,136,17,151,97,3,97,77,0,77,39,3,41,79,0,79,125,6,128,21,19,41,1272,425,1698
POA4275,9,3,11,8,0,6,4,5,7,0,11,17,24,40,66,18,16,35,64,11,71,44,23,68,62,22,87,78,11,92,55,13,71,66,9,74,123,7,127,84,0,84,60,0,60,30,0,33,46,0,49,104,8,117,12,14,27,900,211,1106
POA4280,32,18,50,16,15,30,18,29,46,15,37,50,64,83,151,75,44,121,219,58,277,210,67,271,274,62,334,332,62,393,346,38,380,339,35,374,668,40,704,452,4,458,266,3,270,158,14,171,255,4,255,458,19,480,74,28,108,4269,658,4921
POA4285,35,35,68,24,23,45,26,81,111,28,127,159,149,320,468,185,192,382,472,133,607,346,143,485,456,122,582,483,64,548,342,53,400,394,32,435,675,38,717,379,9,383,244,0,245,153,18,171,206,3,209,520,24,550,82,81,165,5195,1516,6711
POA4287,3,0,3,0,0,3,0,3,3,4,14,14,15,22,30,3,4,9,17,6,23,19,10,25,11,4,16,14,0,14,13,0,13,15,3,21,19,3,23,5,0,5,6,0,6,3,3,5,3,0,3,26,0,28,4,10,12,184,72,257
POA4300,94,77,170,39,36,70,75,113,188,82,200,280,262,371,635,349,197,552,712,234,940,707,326,1032,1013,358,1368,1214,263,1484,1047,251,1293,1020,155,1175,2281,207,2485,1521,56,1574,932,25,959,531,44,579,787,13,799,1296,109,1403,167,95,259,14116,3119,17240
POA4301,52,44,93,15,4,24,55,59,110,50,72,124,144,211,356,249,141,387,486,152,638,487,223,706,718,234,954,715,161,879,625,113,739,530,58,592,935,68,1002,480,23,505,250,4,250,105,10,116,153,4,156,580,51,628,103,55,158,6736,1691,8419
POA4303,11,11,22,9,3,13,10,23,35,21,36,55,39,71,109,51,28,80,115,28,145,82,42,123,91,42,130,83,20,103,52,9,59,43,14,62,86,8,94,34,0,35,13,0,13,11,3,8,15,0,15,84,13,96,12,27,48,856,378,1234
POA4304,23,35,52,14,36,48,44,106,146,38,185,226,113,437,553,193,185,382,399,183,583,366,228,596,423,206,626,441,133,575,346,98,443,327,56,381,516,76,593,289,20,310,154,7,166,82,17,102,84,0,84,335,39,378,60,116,176,4251,2178,6422
POA4305,84,118,202,56,65,121,96,264,356,131,530,659,413,1210,1620,607,625,1230,1303,499,1800,1170,628,1796,1516,670,2185,1528,404,1932,1164,322,1481,1171,182,1356,2048,218,2269,1254,45,1291,701,10,710,384,38,422,542,12,557,1442,121,1560,209,316,521,15816,6263,22076
POA4306,53,58,114,41,33,72,56,104,157,57,145,204,192,400,597,190,160,359,602,163,762,502,191,694,694,197,892,680,158,831,615,130,741,639,74,711,1283,88,1369,974,23,996,674,3,672,385,33,421,728,3,733,992,43,1035,121,72,196,9478,2069,11546
POA4307,4,0,6,0,3,3,5,6,9,0,3,4,12,12,22,11,7,18,33,11,41,39,11,49,39,12,49,24,6,36,33,5,36,36,3,35,59,3,60,36,0,36,20,0,20,7,0,7,22,0,26,46,3,48,8,0,11,424,94,516
POA4309,10,0,10,12,3,15,4,9,15,3,31,36,34,65,102,25,28,55,84,26,111,73,23,103,77,22,98,66,7,78,53,4,61,56,7,64,89,6,94,52,0,54,36,0,36,13,10,25,23,0,23,77,0,81,21,14,34,806,260,1072
