POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA4627,249,626,0,3,0,0,0,3,22,37,0,0,0,0,0,0,22,37,13,28,0,0,0,3,10,15,25,44,3,7,303,719,98,..,395,719
POA4630,886,1985,0,0,0,7,0,7,0,0,0,0,0,0,0,3,4,8,9,37,0,0,0,4,0,0,10,36,8,16,909,2052,262,..,1172,2052
POA4650,11482,28204,555,767,123,199,679,967,355,511,4,7,12,20,0,0,367,537,151,225,36,68,24,46,10,21,212,357,91,220,12837,30293,1582,..,14414,30293
POA4655,18969,47922,1400,2285,1056,1829,2455,4107,440,691,168,254,211,351,0,0,819,1300,309,500,150,231,25,48,25,64,498,842,206,353,22947,54525,2839,..,25788,54525
POA4659,1747,3908,41,55,5,7,46,66,20,27,0,0,0,0,0,3,20,31,112,178,14,28,7,23,3,4,135,222,8,15,1953,4240,388,..,2341,4240
POA4660,2581,6067,64,83,8,13,67,98,22,41,0,10,0,0,0,0,21,50,44,72,0,0,10,18,15,27,77,123,16,33,2764,6378,833,..,3596,6378
POA4662,243,631,0,0,0,0,0,0,4,9,0,0,0,0,0,0,4,9,0,0,0,0,14,38,3,11,16,50,4,3,262,690,29,..,297,690
POA4670,25481,65421,1839,2879,423,724,2260,3608,1624,2487,25,47,109,199,3,3,1759,2739,300,471,152,209,17,35,32,70,497,786,130,286,30132,72837,3923,..,34059,72837
POA4671,2138,5064,3,5,0,0,3,5,27,48,0,4,13,9,0,0,44,60,31,55,0,3,49,106,9,18,91,176,18,40,2287,5352,418,..,2707,5352
POA4673,230,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,0,0,0,0,0,0,22,41,0,0,247,610,43,..,296,610
