POA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA4163,0,4,4,11,13,12,7,0,0,51,0,9,15,33,11,11,0,3,0,90,0,0,0,4,4,4,10,10,4,33,0,12,17,20,32,35,33,35,10,189,0,3,0,4,3,3,3,0,0,15,3,26,53,65,56,35,24,19,6,298,0,0,0,0,0,3,7,0,0,13,0,5,0,7,3,0,4,0,0,23,0,0,7,8,13,13,5,3,0,47,0,4,0,13,3,6,0,0,0,26,0,0,0,0,3,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,10,13,15,8,8,8,3,0,73,0,0,3,11,4,5,0,3,0,21,0,3,0,4,13,10,8,0,0,44,0,0,0,5,4,12,0,0,0,26,0,19,31,67,44,65,53,25,8,320,36,37,54,133,105,152,140,131,116,915,552,1549,1664,2794,2076,2344,2052,1226,544,14801
POA4164,0,0,0,3,10,4,3,0,0,30,0,0,9,15,10,7,4,0,0,48,0,0,0,3,4,3,0,0,0,18,0,9,18,31,39,30,12,13,3,156,0,0,0,7,0,3,0,0,0,10,5,52,62,130,82,32,18,13,3,402,0,0,0,4,3,0,3,0,0,13,0,8,7,3,19,5,0,3,0,40,3,0,0,3,3,0,0,0,0,13,0,0,5,7,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,9,6,8,7,11,4,0,0,48,0,0,0,0,3,0,0,0,0,9,0,4,10,4,16,8,0,0,4,52,0,0,4,12,25,10,3,0,0,62,3,20,23,73,45,28,41,49,43,317,18,61,62,137,100,79,52,31,22,559,853,2221,2073,3434,2277,1766,1183,604,288,14694
POA4165,0,0,3,25,18,13,3,4,0,67,0,5,20,50,23,18,5,5,0,133,0,0,0,12,3,6,7,11,4,35,0,8,26,37,62,67,49,44,10,297,0,0,0,5,7,5,0,0,0,13,3,60,83,198,142,47,33,11,8,580,0,0,0,0,0,4,3,3,0,15,0,0,0,6,0,3,5,0,0,24,0,0,3,7,0,4,0,0,0,14,0,6,3,25,4,3,0,0,0,39,0,0,0,0,6,0,0,3,0,13,0,0,0,0,0,0,0,0,0,3,0,9,7,23,22,19,11,6,0,103,0,0,4,9,3,3,0,0,0,15,0,0,0,8,13,15,17,0,0,55,0,3,6,19,17,15,3,0,0,64,6,28,23,143,100,89,76,49,18,521,66,207,172,424,253,202,215,160,140,1845,2274,5422,4325,9000,5230,4223,3443,1987,908,36815
POA4169,0,3,11,23,15,4,0,0,0,58,3,0,11,57,22,9,8,0,0,113,0,0,3,9,0,0,3,0,0,19,0,0,7,20,15,18,7,7,5,72,0,3,15,16,3,0,3,0,0,45,0,4,25,78,18,12,7,0,0,146,0,0,0,3,0,3,3,0,0,16,0,0,3,29,3,0,0,0,0,38,0,3,22,69,9,3,3,0,0,108,0,0,12,41,0,0,3,0,0,61,0,0,0,0,0,0,0,0,0,3,0,0,10,20,6,0,0,0,0,28,0,9,16,63,9,15,10,4,0,118,0,3,20,49,9,12,6,3,0,99,0,0,0,11,3,0,0,0,0,15,0,0,0,9,8,8,3,0,0,22,11,29,152,608,59,49,29,13,7,956,43,50,165,495,150,130,86,40,22,1170,473,681,2280,5926,1562,1409,988,422,238,13995
POA4170,0,0,6,33,12,15,0,4,3,77,3,8,11,88,32,36,11,4,0,189,0,0,0,23,4,3,3,0,8,40,0,8,8,64,32,20,17,3,9,146,0,9,5,17,3,4,0,0,0,34,0,8,14,135,29,11,4,3,0,209,0,0,0,0,3,4,0,0,0,13,0,4,3,28,15,9,0,0,0,59,0,3,13,58,5,4,0,0,0,83,0,5,13,64,12,8,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,10,4,8,14,50,16,3,4,0,0,107,0,3,8,28,16,9,5,4,3,75,0,6,3,13,7,0,3,0,0,30,0,0,10,26,4,8,0,0,0,46,11,49,51,345,69,38,34,16,5,610,92,113,196,696,200,147,97,50,28,1628,1748,2804,3189,9510,3077,2066,1192,604,322,24514
POA4171,0,0,4,22,20,11,0,0,0,55,0,0,5,22,11,9,4,0,0,56,0,0,0,13,0,6,0,0,3,17,3,3,4,57,34,29,9,3,3,151,3,8,0,9,0,0,0,0,0,27,4,11,18,86,28,17,3,0,0,160,0,0,0,0,0,0,3,0,0,3,0,0,0,6,6,3,0,0,0,18,0,0,3,23,0,0,0,0,0,24,0,3,3,11,5,0,0,0,0,30,0,0,0,0,3,3,0,0,0,7,0,0,0,3,0,0,4,0,0,4,0,24,18,40,16,9,9,0,0,113,0,0,0,11,3,5,0,0,0,22,0,3,0,11,10,7,0,0,0,35,0,0,4,15,12,0,3,0,0,23,14,40,28,235,59,33,23,19,3,456,49,100,102,381,172,114,55,22,10,997,1044,2035,1817,5287,2526,1617,828,381,190,15721
POA4172,0,3,0,9,9,5,0,0,0,18,0,0,3,7,3,10,0,0,0,30,0,0,0,3,0,0,0,0,0,6,0,0,0,9,13,6,4,0,0,33,0,0,3,4,0,0,0,0,0,10,0,4,11,15,11,6,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,0,17,0,0,3,14,0,5,0,0,0,20,0,0,0,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,13,0,0,0,11,11,8,4,0,0,29,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,9,7,63,12,11,8,4,0,112,12,18,22,92,32,45,25,8,3,253,307,554,533,1546,553,459,226,85,34,4303
POA4173,0,3,3,10,7,0,3,0,0,31,0,4,5,34,32,32,9,3,0,122,0,0,0,3,3,0,0,0,0,10,0,0,4,4,9,9,3,0,0,32,0,0,0,3,0,0,0,0,0,5,0,0,3,22,4,10,7,6,0,48,0,0,0,0,0,3,3,0,0,3,0,3,7,16,14,6,3,0,0,48,0,0,0,13,0,0,0,0,0,16,0,0,5,10,11,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,12,3,0,0,0,0,26,0,4,0,23,16,8,3,0,0,55,0,0,0,7,0,0,0,0,0,10,0,0,0,10,0,3,8,0,0,23,0,9,7,75,27,31,17,9,3,186,23,45,55,146,67,49,46,17,6,450,584,968,986,2531,1145,921,748,328,79,8290
POA4174,0,0,0,0,3,3,0,0,0,9,0,6,4,17,9,6,0,0,0,51,0,0,0,6,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,6,5,9,3,50,4,15,14,36,22,17,18,3,3,123,172,339,259,779,324,274,155,44,22,2385
POA4178,0,4,7,24,22,10,4,3,0,75,3,22,43,114,56,45,18,6,0,314,0,0,0,9,0,3,0,0,3,14,0,11,4,37,22,22,22,22,6,154,0,0,0,7,7,3,0,0,0,19,0,15,27,78,49,18,14,0,7,216,0,0,0,4,5,0,6,3,0,18,0,6,8,16,12,10,3,3,0,55,0,0,0,15,0,0,0,0,0,15,0,10,12,31,13,3,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,8,39,8,9,6,0,0,88,3,0,4,33,17,14,4,4,0,78,0,0,8,13,9,3,4,3,0,43,0,3,0,12,12,7,0,0,0,31,11,28,37,178,90,58,56,25,11,486,66,104,146,337,198,176,156,142,136,1468,1610,3082,2919,6701,3672,2933,2260,1300,726,25208
POA4179,0,3,0,26,15,9,3,3,0,58,0,8,13,44,26,12,5,0,0,109,0,0,0,13,0,8,3,0,3,22,3,15,6,22,28,19,18,13,9,138,0,7,3,8,3,3,3,0,0,25,4,9,18,88,33,25,12,5,0,201,0,0,0,0,3,0,3,0,0,6,0,0,0,10,4,0,4,0,0,15,0,0,0,0,3,0,0,0,0,4,0,0,0,12,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,6,3,20,21,14,7,5,0,75,0,0,3,12,3,5,0,0,0,21,0,0,3,11,8,4,8,0,3,47,0,0,0,6,7,3,0,0,0,22,6,33,28,109,72,43,25,20,5,342,39,71,104,230,165,120,89,62,26,890,1202,2658,2275,4723,3032,2316,1672,959,452,19291
POA4183,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,9,3,0,26,5,28,15,49,34,35,40,28,4,237,102,249,178,397,287,390,329,139,39,2102
POA4184,0,0,0,3,7,4,5,0,0,13,0,6,8,11,11,9,10,0,0,69,0,0,0,0,0,3,0,0,0,5,0,0,0,0,7,14,29,14,4,65,0,0,0,0,0,0,0,0,0,4,0,0,3,5,13,15,13,5,0,48,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,3,22,0,0,37,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,4,0,18,13,34,45,25,0,144,14,31,33,65,83,119,141,50,15,551,215,542,444,912,955,1482,1696,569,90,6906
POA4205,0,0,0,6,3,4,0,3,3,26,0,3,8,24,15,15,4,0,5,68,0,0,0,0,0,0,0,0,4,5,0,0,0,3,3,17,13,18,8,73,0,0,0,3,0,0,0,0,0,6,0,0,0,3,6,3,5,8,3,25,0,0,0,0,0,0,3,7,0,10,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,10,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,3,0,3,15,38,30,23,15,12,8,141,16,37,32,82,52,49,37,48,18,377,295,547,537,1144,560,651,638,605,402,5385
POA4207,3,8,11,71,44,27,12,7,0,187,9,38,55,185,102,70,21,14,3,506,0,0,0,25,9,29,17,3,3,86,0,4,13,38,43,57,73,30,11,268,0,0,3,12,8,13,10,0,0,41,0,10,33,95,48,44,35,6,3,279,0,0,0,3,8,10,13,3,0,40,0,0,0,11,5,4,9,3,0,38,3,0,3,25,7,3,3,3,0,57,0,13,13,57,14,5,4,0,0,107,0,0,0,3,0,0,0,0,0,8,0,7,7,50,19,6,3,0,0,97,0,10,9,32,14,23,8,3,0,100,0,4,22,62,16,5,4,0,0,118,0,3,3,13,10,9,19,6,0,67,0,7,10,18,24,11,7,4,0,77,9,69,122,475,249,212,144,83,28,1392,261,454,511,1075,533,461,383,218,80,3975,4241,7803,7511,14699,7072,6088,4929,2207,658,55215
POA4208,0,0,0,8,7,5,0,0,0,27,0,4,0,23,10,9,0,0,0,43,0,0,0,5,0,5,4,0,0,18,0,9,10,30,31,28,22,16,0,148,0,0,4,7,5,4,0,0,0,18,0,32,48,128,69,32,9,7,3,331,0,0,0,0,0,7,0,0,0,8,0,3,0,4,0,9,3,0,0,17,0,0,0,0,0,0,0,0,0,9,0,4,3,20,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,10,3,14,4,18,3,8,3,0,0,61,0,0,0,3,0,0,0,0,0,8,0,3,3,9,9,3,4,4,0,40,0,3,4,20,10,3,4,0,0,44,4,14,19,151,62,60,29,20,7,355,102,187,138,402,199,100,99,48,13,1280,1720,3538,2404,6074,2577,1727,1307,499,119,19965
POA4209,0,0,3,23,22,4,3,0,0,65,11,21,54,156,61,43,16,7,3,364,0,0,0,21,6,11,0,0,0,50,0,19,30,58,61,34,30,13,3,250,0,8,3,35,15,3,0,0,0,69,6,90,129,353,169,63,41,6,0,854,0,0,0,5,0,9,11,3,0,25,0,0,3,19,5,4,6,0,0,41,0,6,3,24,9,0,3,0,0,48,0,14,8,42,5,3,0,0,0,76,0,0,0,4,4,3,0,0,0,13,0,0,3,15,15,7,0,0,0,36,7,20,15,52,29,12,7,0,0,152,0,0,7,20,3,5,7,0,0,37,0,0,6,24,11,10,4,0,0,63,0,0,12,63,26,8,9,0,0,122,10,55,72,361,160,136,51,29,7,881,357,544,484,1283,433,263,167,44,21,3587,5191,8935,7139,16758,5675,3340,2145,656,236,50073
POA4210,0,0,4,13,10,11,0,0,0,39,0,7,3,40,23,14,3,8,0,95,0,0,0,15,5,3,9,0,0,39,0,5,7,22,18,20,18,5,0,99,0,5,4,9,8,3,0,0,0,31,0,33,49,121,82,39,12,4,0,352,0,0,0,0,5,7,3,0,0,21,0,0,0,13,3,3,5,0,0,24,0,3,0,6,0,0,3,0,0,19,4,4,0,15,0,3,0,0,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,7,7,18,20,4,7,0,0,71,0,3,3,6,0,0,0,0,0,14,0,5,3,9,12,3,3,3,0,42,0,0,0,14,9,7,0,4,0,47,0,7,28,132,66,74,43,28,12,387,64,159,155,383,194,188,96,43,13,1295,1413,3091,2466,5619,2906,2049,1305,505,114,19475
POA4211,0,0,0,36,50,19,8,3,0,119,4,21,39,172,116,70,33,7,4,476,0,0,4,26,8,29,14,11,7,101,0,9,13,60,70,58,75,43,16,343,0,8,14,26,7,17,4,3,0,81,0,22,84,182,116,55,50,31,9,547,0,0,3,8,17,16,12,6,3,71,0,4,3,25,11,16,19,0,0,72,0,0,11,35,9,10,11,0,0,80,6,12,22,54,28,10,3,0,0,132,3,0,0,5,6,6,0,0,0,25,0,0,0,10,10,0,12,0,0,26,0,22,15,53,34,39,25,12,3,194,0,4,7,33,9,0,0,6,0,56,0,8,5,19,24,18,14,3,6,92,0,3,8,24,18,21,8,0,0,88,9,59,70,456,217,231,188,104,32,1367,198,375,406,1049,542,488,400,243,125,3838,4111,8334,7485,16710,8541,6912,5236,2520,945,60801
POA4212,0,4,3,16,16,11,6,0,3,53,0,11,6,54,17,24,13,0,0,114,0,0,0,6,6,15,7,3,4,41,0,13,9,30,46,39,64,34,9,253,0,0,10,14,7,10,7,3,0,56,4,71,109,172,153,95,58,22,4,686,0,0,0,5,4,3,12,0,0,22,0,0,3,8,9,3,6,3,0,37,0,3,4,27,11,11,7,0,0,62,5,3,7,21,5,0,0,0,0,44,0,0,0,0,0,0,4,0,0,7,0,0,0,3,4,4,3,0,0,20,3,13,18,26,20,25,21,5,0,130,0,0,3,29,15,0,4,0,0,53,0,3,0,14,10,12,14,4,3,69,0,0,3,22,13,13,8,0,0,61,8,52,53,165,138,113,85,55,18,684,96,208,210,495,359,316,265,138,77,2172,1337,3411,3339,6283,4332,3825,3373,1528,615,28053
POA4213,0,3,4,17,14,12,5,0,0,57,0,3,6,36,33,14,13,4,0,119,0,0,0,18,4,12,9,8,4,53,4,6,6,23,51,31,37,24,7,190,0,0,3,0,5,11,10,0,0,29,0,55,76,160,127,77,30,15,4,549,0,0,0,0,4,7,4,3,0,22,0,0,0,3,3,4,5,4,0,16,0,0,3,13,7,8,3,0,0,34,0,6,3,25,5,9,0,0,0,46,0,0,5,3,3,3,3,0,0,12,0,0,3,0,6,3,4,0,0,15,0,31,22,37,29,29,19,6,3,163,0,0,0,8,3,0,0,0,0,20,0,3,3,16,23,7,3,5,0,67,0,0,0,20,8,18,9,0,0,53,3,41,42,165,116,119,83,41,17,622,83,213,162,430,264,254,202,132,138,1876,1724,4553,3455,7061,4458,3627,2571,1152,436,29042
POA4214,0,0,6,19,24,17,4,3,0,77,3,14,45,134,79,67,30,3,7,384,0,0,0,11,14,20,8,6,6,62,0,9,15,28,33,37,54,27,10,207,0,0,32,23,15,24,6,0,0,106,0,12,49,101,70,78,41,15,5,373,0,0,0,7,16,13,13,4,0,55,0,19,15,31,14,8,4,3,0,90,3,11,15,77,19,20,8,0,0,158,0,3,11,54,17,10,4,0,0,105,0,0,0,0,0,0,3,0,0,3,0,0,0,5,13,4,3,0,0,21,0,18,16,52,15,17,18,3,3,148,0,11,29,37,12,10,7,0,0,108,0,0,7,11,13,11,9,3,5,59,0,0,4,29,17,4,9,3,0,65,5,58,96,257,162,155,98,81,26,951,104,217,350,576,362,304,236,145,153,2437,1963,4522,5711,9172,5391,4461,3410,1744,854,37238
POA4215,0,9,22,36,21,21,6,3,0,120,7,29,72,308,126,78,48,7,3,696,0,0,6,16,13,25,30,14,14,109,0,6,13,21,27,38,62,41,21,236,0,8,26,32,13,18,6,3,0,105,3,5,51,131,63,48,33,17,5,355,0,0,6,12,20,20,15,24,8,102,0,3,7,46,3,10,4,0,3,80,7,6,43,171,17,8,3,6,0,255,7,11,24,129,36,17,3,3,0,237,0,0,0,3,13,5,3,7,0,29,3,7,0,20,16,12,12,10,0,73,5,12,31,76,30,34,23,6,4,226,0,10,32,80,17,19,3,0,0,164,0,0,4,6,12,7,3,3,4,44,0,7,16,47,6,16,7,0,0,95,35,111,299,744,228,205,226,138,53,2042,212,430,890,1383,630,528,501,342,215,5130,2366,4095,7892,14684,6083,5495,5068,2970,1510,50166
POA4216,0,0,0,16,24,19,4,7,0,71,8,18,26,147,60,47,18,4,0,331,0,3,6,22,5,12,15,8,7,66,0,7,4,23,34,59,71,41,20,271,0,0,9,12,13,15,5,3,3,59,4,8,56,123,78,85,48,16,8,420,0,0,0,3,7,12,7,6,0,36,0,0,6,19,5,5,8,0,0,42,0,0,10,28,8,4,6,0,0,61,0,3,9,45,12,8,0,0,3,80,0,0,3,7,6,0,0,0,0,13,0,0,0,0,8,11,6,3,0,38,6,22,15,30,26,25,18,6,0,153,0,4,11,23,4,7,0,0,0,60,0,8,0,19,9,18,23,11,6,96,0,0,5,20,12,12,12,0,0,64,4,46,76,279,175,165,165,91,27,1034,121,198,261,639,384,400,423,286,133,2858,1726,3481,3711,8467,4953,5246,5527,3097,1233,37435
POA4217,3,0,10,15,20,10,4,5,0,70,6,19,29,151,61,26,11,4,0,304,0,3,3,34,14,24,23,10,8,110,0,0,3,36,30,41,57,27,0,195,0,3,12,24,16,11,6,3,0,75,0,20,56,103,71,55,55,26,3,378,0,0,0,9,8,11,14,5,3,45,0,3,3,8,9,11,7,3,0,46,3,5,54,177,30,32,9,5,0,313,4,13,32,159,30,8,6,0,0,254,0,0,0,11,3,5,7,3,0,26,0,0,0,9,15,0,3,4,0,41,9,19,42,65,26,28,27,13,5,226,0,7,3,50,18,12,9,3,0,103,0,0,4,11,12,7,9,5,3,55,0,0,3,15,9,14,6,0,0,43,30,72,406,1142,181,172,187,91,40,2321,184,293,760,1724,716,655,574,275,136,5322,1523,3186,5626,12272,5534,5047,4675,2191,785,40836
POA4218,0,3,6,24,15,14,7,3,0,67,0,14,20,85,43,46,19,3,0,237,0,0,3,18,4,17,14,15,10,79,0,11,8,39,26,26,46,9,9,174,3,3,0,17,7,16,6,3,0,51,0,9,33,112,35,40,20,16,0,266,0,0,0,3,5,18,10,7,0,46,0,0,0,7,0,0,0,4,0,17,0,3,18,57,13,18,17,7,0,127,3,9,10,66,24,9,5,0,0,129,0,0,0,3,7,4,3,0,0,23,0,0,0,9,7,7,4,0,0,26,6,12,29,64,34,14,18,3,3,178,0,0,0,17,18,9,3,0,0,53,0,3,3,10,9,5,7,3,0,43,0,0,6,8,10,7,0,0,0,32,10,43,150,605,116,146,101,85,40,1294,110,191,306,890,414,402,318,195,73,2901,1485,2926,3788,9691,4260,3844,3342,1814,719,31864
POA4220,0,0,5,23,28,13,3,3,0,68,0,3,17,58,34,28,11,5,0,154,0,0,0,15,3,11,6,5,5,51,0,0,3,27,22,31,46,43,19,189,0,0,3,9,5,8,0,0,0,33,3,11,26,103,27,37,23,5,4,238,0,0,0,3,5,3,8,9,7,40,0,0,0,4,3,3,3,3,0,14,0,0,0,8,0,0,0,0,0,9,3,4,14,32,8,3,3,0,0,69,0,0,0,0,3,3,0,0,0,10,0,0,3,8,4,3,0,0,0,15,0,14,10,57,12,23,11,4,3,141,0,0,0,7,4,4,3,0,0,27,0,3,5,15,19,3,15,5,8,79,0,0,0,18,5,6,3,0,0,34,4,21,67,426,83,83,71,68,25,856,86,174,236,693,320,293,263,177,90,2335,1802,3276,3196,9275,3955,3669,3256,1905,911,31233
POA4221,0,4,10,17,17,14,4,3,0,63,3,3,18,36,19,16,3,0,0,95,0,3,3,16,4,3,6,4,0,42,0,3,5,31,17,25,40,20,7,158,0,0,0,4,0,8,0,0,0,12,0,16,26,79,37,32,22,4,4,220,0,0,0,3,0,7,3,4,0,18,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,3,0,0,10,3,3,6,28,4,3,0,0,0,48,0,0,0,0,0,4,5,0,0,8,0,0,0,0,0,0,0,0,0,3,3,9,21,36,19,22,16,5,0,138,0,0,0,6,0,0,0,0,0,7,0,0,0,3,3,4,7,0,0,30,0,0,0,6,0,3,0,0,0,15,3,17,31,168,43,53,41,29,12,394,89,164,146,511,214,231,233,132,72,1796,1560,3235,2980,7069,3640,3350,2747,1500,720,26802
POA4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
